市区町村コード,市区町村名,都道府県コード,都道府県名
01101,札幌市中央区,01,北海道
01102,札幌市北区,01,北海道
01103,札幌市東区,01,北海道
01104,札幌市白石区,01,北海道
01105,札幌市豊平区,01,北海道
01106,札幌市南区,01,北海道
01107,札幌市西区,01,北海道
01108,札幌市厚別区,01,北海道
01109,札幌市手稲区,01,北海道
01110,札幌市清田区,01,北海道
01202,函館市,01,北海道
01203,小樽市,01,北海道
01204,旭川市,01,北海道
01205,室蘭市,01,北海道
01206,釧路市,01,北海道
01207,帯広市,01,北海道
01208,北見市,01,北海道
01209,夕張市,01,北海道
01210,岩見沢市,01,北海道
01211,網走市,01,北海道
01212,留萌市,01,北海道
01213,苫小牧市,01,北海道
01214,稚内市,01,北海道
01215,美唄市,01,北海道
01216,芦別市,01,北海道
01217,江別市,01,北海道
01218,赤平市,01,北海道
01219,紋別市,01,北海道
01220,士別市,01,北海道
01221,名寄市,01,北海道
01222,三笠市,01,北海道
01223,根室市,01,北海道
01224,千歳市,01,北海道
01225,滝川市,01,北海道
01226,砂川市,01,北海道
01227,歌志内市,01,北海道
01228,深川市,01,北海道
01229,富良野市,01,北海道
01230,登別市,01,北海道
01231,恵庭市,01,北海道
01233,伊達市,01,北海道
01234,北広島市,01,北海道
01235,石狩市,01,北海道
01236,北斗市,01,北海道
01303,石狩郡当別町,01,北海道
01304,石狩郡新篠津村,01,北海道
01331,松前郡松前町,01,北海道
01332,松前郡福島町,01,北海道
01333,上磯郡知内町,01,北海道
01334,上磯郡木古内町,01,北海道
01337,亀田郡七飯町,01,北海道
01343,茅部郡鹿部町,01,北海道
01345,茅部郡森町,01,北海道
01346,二海郡八雲町,01,北海道
01347,山越郡長万部町,01,北海道
01361,檜山郡江差町,01,北海道
01362,檜山郡上ノ国町,01,北海道
01363,檜山郡厚沢部町,01,北海道
01364,爾志郡乙部町,01,北海道
01367,奥尻郡奥尻町,01,北海道
01370,瀬棚郡今金町,01,北海道
01371,久遠郡せたな町,01,北海道
01391,島牧郡島牧村,01,北海道
01392,寿都郡寿都町,01,北海道
01393,寿都郡黒松内町,01,北海道
01394,磯谷郡蘭越町,01,北海道
01395,虻田郡ニセコ町,01,北海道
01396,虻田郡真狩村,01,北海道
01397,虻田郡留寿都村,01,北海道
01398,虻田郡喜茂別町,01,北海道
01399,虻田郡京極町,01,北海道
01400,虻田郡倶知安町,01,北海道
01401,岩内郡共和町,01,北海道
01402,岩内郡岩内町,01,北海道
01403,古宇郡泊村,01,北海道
01404,古宇郡神恵内村,01,北海道
01405,積丹郡積丹町,01,北海道
01406,古平郡古平町,01,北海道
01407,余市郡仁木町,01,北海道
01408,余市郡余市町,01,北海道
01409,余市郡赤井川村,01,北海道
01423,空知郡南幌町,01,北海道
01424,空知郡奈井江町,01,北海道
01425,空知郡上砂川町,01,北海道
01427,夕張郡由仁町,01,北海道
01428,夕張郡長沼町,01,北海道
01429,夕張郡栗山町,01,北海道
01430,樺戸郡月形町,01,北海道
01431,樺戸郡浦臼町,01,北海道
01432,樺戸郡新十津川町,01,北海道
01433,雨竜郡妹背牛町,01,北海道
01434,雨竜郡秩父別町,01,北海道
01436,雨竜郡雨竜町,01,北海道
01437,雨竜郡北竜町,01,北海道
01438,雨竜郡沼田町,01,北海道
01452,上川郡鷹栖町,01,北海道
01453,上川郡東神楽町,01,北海道
01454,上川郡当麻町,01,北海道
01455,上川郡比布町,01,北海道
01456,上川郡愛別町,01,北海道
01457,上川郡上川町,01,北海道
01458,上川郡東川町,01,北海道
01459,上川郡美瑛町,01,北海道
01460,空知郡上富良野町,01,北海道
01461,空知郡中富良野町,01,北海道
01462,空知郡南富良野町,01,北海道
01463,勇払郡占冠村,01,北海道
01464,上川郡和寒町,01,北海道
