検索キーID,表示名,ソース,分類,必須可,検索対象,保有件数,保有率,記載率,歯科,状態,同名,備考
M0001,歯科,診療科目,診療科目,0,0,65045,40.29%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0002,内科,診療科目,診療科目,1,1,57457,35.59%,99.3%,0,現行,専門外来,
M0003,小児歯科,診療科目,診療科目,0,0,43279,26.81%,99.3%,1,現行,専門外来、疾患治療,歯科。医科の逆紹介では使わない
M0004,歯科口腔外科,診療科目,診療科目,0,0,26884,16.65%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0005,矯正歯科,診療科目,診療科目,0,0,25470,15.78%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0006,消化器内科,診療科目,診療科目,1,1,22599,14.00%,99.3%,0,現行,専門外来,
M0007,小児科,診療科目,診療科目,1,1,19786,12.26%,99.3%,0,現行,専門外来,
M0008,リハビリテーション科,診療科目,診療科目,1,1,16919,10.48%,99.3%,0,現行,専門外来,
M0009,整形外科,診療科目,診療科目,1,1,16407,10.16%,99.3%,0,現行,専門外来,
M0010,循環器内科,診療科目,診療科目,1,1,16122,9.99%,99.3%,0,現行,専門外来,
M0011,皮膚科,診療科目,診療科目,1,1,15169,9.40%,99.3%,0,現行,専門外来,
M0012,外科,診療科目,診療科目,1,1,14687,9.10%,99.3%,0,現行,専門外来,
M0013,眼科,診療科目,診療科目,1,1,10274,6.36%,99.3%,0,現行,専門外来,
M0014,精神科,診療科目,診療科目,1,1,10226,6.33%,99.3%,0,現行,専門外来,
M0015,呼吸器内科,診療科目,診療科目,1,1,9701,6.01%,99.3%,0,現行,専門外来,
M0016,アレルギー科,診療科目,診療科目,1,1,8469,5.25%,99.3%,0,現行,,
M0017,耳鼻いんこう科,診療科目,診療科目,1,1,8399,5.20%,99.3%,0,現行,,
M0018,泌尿器科,診療科目,診療科目,1,1,6967,4.32%,99.3%,0,現行,専門外来,
M0019,心療内科,診療科目,診療科目,1,1,6506,4.03%,99.3%,0,現行,専門外来,
M0020,糖尿病内科,診療科目,診療科目,1,1,5939,3.68%,99.3%,0,現行,専門外来,
M0021,リウマチ科,診療科目,診療科目,1,1,5814,3.60%,99.3%,0,現行,専門外来,
M0022,脳神経内科,診療科目,診療科目,1,1,5603,3.47%,99.3%,0,現行,専門外来,
M0023,放射線科,診療科目,診療科目,1,1,5488,3.40%,99.3%,0,現行,,
M0024,小児矯正歯科,診療科目,診療科目,0,0,5252,3.25%,99.3%,1,現行,,歯科。医科の逆紹介では使わない
M0025,脳神経外科,診療科目,診療科目,1,1,4576,2.83%,99.3%,0,現行,専門外来,
M0026,麻酔科,診療科目,診療科目,1,1,4252,2.63%,99.3%,0,現行,,
M0027,肛門外科,診療科目,診療科目,1,1,3938,2.44%,99.3%,0,現行,,
M0028,産婦人科,診療科目,診療科目,1,1,3664,2.27%,99.3%,0,現行,,
M0029,形成外科,診療科目,診療科目,1,1,3597,2.23%,99.3%,0,現行,専門外来,
M0030,婦人科,診療科目,診療科目,1,1,3271,2.03%,99.3%,0,現行,専門外来,
M0031,腎臓内科,診療科目,診療科目,1,1,2994,1.85%,99.3%,0,現行,専門外来,
M0032,消化器外科,診療科目,診療科目,1,1,2753,1.71%,99.3%,0,現行,,
M0033,内分泌内科,診療科目,診療科目,1,1,2516,1.56%,99.3%,0,現行,専門外来,
M0034,美容皮膚科,診療科目,診療科目,1,1,2230,1.38%,99.3%,0,現行,専門外来,
M0035,乳腺外科,診療科目,診療科目,1,1,2033,1.26%,99.3%,0,現行,専門外来,
M0036,人工透析内科,診療科目,診療科目,1,1,1696,1.05%,99.3%,0,現行,,
M0037,口腔外科,診療科目,診療科目,0,0,1569,0.97%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0038,内視鏡内科,診療科目,診療科目,1,1,1523,0.94%,99.3%,0,現行,,
M0039,代謝内科,診療科目,診療科目,1,1,1512,0.94%,99.3%,0,現行,,
M0040,心臓血管外科,診療科目,診療科目,1,1,1474,0.91%,99.3%,0,現行,専門外来,
M0041,漢方内科,診療科目,診療科目,1,1,1152,0.71%,99.3%,0,現行,専門外来,
M0042,血液内科,診療科目,診療科目,1,1,1147,0.71%,99.3%,0,現行,専門外来,
M0043,呼吸器外科,診療科目,診療科目,1,1,1138,0.70%,99.3%,0,現行,専門外来,
M0044,緩和ケア内科,診療科目,診療科目,1,1,1044,0.65%,99.3%,0,現行,,
M0045,美容外科,診療科目,診療科目,1,1,997,0.62%,99.3%,0,現行,,
M0046,産科,診療科目,診療科目,1,1,976,0.60%,99.3%,0,現行,,
M0047,救急科,診療科目,診療科目,1,1,966,0.60%,99.3%,0,現行,,
M0048,病理診断科,診療科目,診療科目,1,1,966,0.60%,99.3%,0,現行,,
