検索キーID,表示名,大区分,中区分,小区分,関連診療科,重み初期値,検索対象,設問数,設問ID,出典カテゴリ,メディマップ語彙,親検索キーID
C0001,狭心症のフォロー,内科,循環器内科（心臓内科含む）,虚血性心疾患の管理,循環器内科（心臓内科含む）,3,1,1,44,内科>循環器内科（心臓内科含む）>虚血性心疾患の管理,,
C0002,心筋梗塞後のフォロー,内科,循環器内科（心臓内科含む）,虚血性心疾患の管理,循環器内科（心臓内科含む）,3,1,1,45,内科>循環器内科（心臓内科含む）>虚血性心疾患の管理,,
C0003,心不全のフォロー,内科,循環器内科（心臓内科含む）,,循環器内科（心臓内科含む）,3,1,1,46,内科>循環器内科（心臓内科含む）,,
C0004,心房細動のフォロー,内科,循環器内科（心臓内科含む）,不整脈管理,循環器内科（心臓内科含む）,3,1,1,47,内科>循環器内科（心臓内科含む）>不整脈管理,,
C0005,ペースメーカー外来,内科,循環器内科（心臓内科含む）,不整脈管理,循環器内科（心臓内科含む）,3,1,1,48,内科>循環器内科（心臓内科含む）>不整脈管理,,
C0006,弁膜症のフォロー,内科,循環器内科（心臓内科含む）,弁膜症・術後管理,循環器内科（心臓内科含む）,3,1,1,49,内科>循環器内科（心臓内科含む）>弁膜症・術後管理,,
C0007,弁置換後のフォロー,内科,循環器内科（心臓内科含む）,弁膜症・術後管理,循環器内科（心臓内科含む）,3,1,1,50,内科>循環器内科（心臓内科含む）>弁膜症・術後管理,,
C0008,下肢抹消動脈疾患のフォロー（ABI可能）,内科,循環器内科（心臓内科含む）,血管疾患管理,循環器内科（心臓内科含む）,3,1,1,51,内科>循環器内科（心臓内科含む）>血管疾患管理,,
C0009,深部静脈血栓症・肺血栓症のフォロー,内科,循環器内科（心臓内科含む）,血管疾患管理,循環器内科（心臓内科含む）,3,1,1,52,内科>循環器内科（心臓内科含む）>血管疾患管理,,
C0010,動脈瘤のフォロー,内科,循環器内科（心臓内科含む）,血管疾患管理,循環器内科（心臓内科含む）,3,1,1,53,内科>循環器内科（心臓内科含む）>血管疾患管理,,
C0011,高血圧症のフォロー,内科,循環器内科（心臓内科含む）,,循環器内科（心臓内科含む）,3,1,1,54,内科>循環器内科（心臓内科含む）,,
C0012,心エコー,共通,検査関連,超音波・エコー検査,循環器内科（心臓内科含む）,2,1,2,"55,574",共通>検査関連>超音波・エコー検査 | 内科>循環器内科（心臓内科含む）>検査関連,,
C0013,ABI・CAVI検査,内科,循環器内科（心臓内科含む）,検査関連,循環器内科（心臓内科含む）,2,1,1,56,内科>循環器内科（心臓内科含む）>検査関連,,
C0014,ホルター型心電図検査,内科,循環器内科（心臓内科含む）,検査関連,循環器内科（心臓内科含む）,2,1,1,57,内科>循環器内科（心臓内科含む）>検査関連,,
C0015,下肢静脈エコー検査,内科,循環器内科（心臓内科含む）,検査関連,循環器内科（心臓内科含む）,2,1,1,58,内科>循環器内科（心臓内科含む）>検査関連,,
C0016,抗凝固療法管理（ワーファリン・コントロール/DOAC）,内科,循環器内科（心臓内科含む）,薬物・治療管理,循環器内科（心臓内科含む）,3,1,1,59,内科>循環器内科（心臓内科含む）>薬物・治療管理,,
C0017,利尿薬管理（内服・静注）,内科,循環器内科（心臓内科含む）,薬物・治療管理,循環器内科（心臓内科含む）,3,1,1,60,内科>循環器内科（心臓内科含む）>薬物・治療管理,,
C0018,禁煙治療,内科,循環器内科（心臓内科含む）,薬物・治療管理,循環器内科（心臓内科含む）,3,1,1,61,内科>循環器内科（心臓内科含む）>薬物・治療管理,,
C0019,CPAP管理,内科,循環器内科（心臓内科含む）,特殊外来,循環器内科（心臓内科含む）,3,1,1,62,内科>循環器内科（心臓内科含む）>特殊外来,,
C0020,心不全のフォロー連携パス,内科,循環器内科（心臓内科含む）,,循環器内科（心臓内科含む）,3,1,1,63,内科>循環器内科（心臓内科含む）,,
C0021,B型肝炎（フォロー／核酸アナログ治療）,内科,消化器内科（肝臓内科含む）,肝疾患,消化器内科（肝臓内科含む）,3,1,1,65,内科>消化器内科（肝臓内科含む）>肝疾患,,
C0022,C型肝炎（内服治療／治療後フォロー）,内科,消化器内科（肝臓内科含む）,肝疾患,消化器内科（肝臓内科含む）,3,1,1,66,内科>消化器内科（肝臓内科含む）>肝疾患,,
C0023,強ミノC注射,内科,消化器内科（肝臓内科含む）,肝疾患,消化器内科（肝臓内科含む）,3,1,1,67,内科>消化器内科（肝臓内科含む）>肝疾患,,
C0024,大腸ポリープ、便秘、過敏性腸症候群などのフォロー,内科,消化器内科（肝臓内科含む）,胃腸疾患,消化器内科（肝臓内科含む）,3,1,1,68,内科>消化器内科（肝臓内科含む）>胃腸疾患,,
C0025,便秘症のフォロー,内科,消化器内科（肝臓内科含む）,胃腸疾患,消化器内科（肝臓内科含む）,3,1,1,69,内科>消化器内科（肝臓内科含む）>胃腸疾患,,
C0026,HP除菌（ピロリ菌治療）・除菌判定,内科,消化器内科（肝臓内科含む）,胃腸疾患,消化器内科（肝臓内科含む）,3,1,1,70,内科>消化器内科（肝臓内科含む）>胃腸疾患,,
C0027,膵のう胞性疾患の管理・定期検査,内科,消化器内科（肝臓内科含む）,膵疾患,消化器内科（肝臓内科含む）,3,1,1,71,内科>消化器内科（肝臓内科含む）>膵疾患,,
C0028,慢性膵炎の管理・定期検査,内科,消化器内科（肝臓内科含む）,膵疾患,消化器内科（肝臓内科含む）,3,1,1,72,内科>消化器内科（肝臓内科含む）>膵疾患,,
C0029,腹部超音波検査,内科,消化器内科（肝臓内科含む）,検査,消化器内科（肝臓内科含む）、消化器外科,2,1,2,"73,284",内科>消化器内科（肝臓内科含む）>検査 | 外科>消化器外科>検査・診断,,
C0030,上部消化管内視鏡（経口／経鼻／鎮静対応）,内科,消化器内科（肝臓内科含む）,検査,消化器内科（肝臓内科含む）,2,1,1,74,内科>消化器内科（肝臓内科含む）>検査,,
C0031,下部消化管内視鏡（鎮静対応可）,内科,消化器内科（肝臓内科含む）,検査,消化器内科（肝臓内科含む）,2,1,1,75,内科>消化器内科（肝臓内科含む）>検査,,
C0032,超音波内視鏡検査（EUS）,内科,消化器内科（肝臓内科含む）,検査,消化器内科（肝臓内科含む）,2,1,1,76,内科>消化器内科（肝臓内科含む）>検査,,
C0033,大腸CT,内科,消化器内科（肝臓内科含む）,検査,消化器内科（肝臓内科含む）,2,1,1,77,内科>消化器内科（肝臓内科含む）>検査,,
C0034,採血検査,内科,消化器内科（肝臓内科含む）,検査,消化器内科（肝臓内科含む）,2,1,1,78,内科>消化器内科（肝臓内科含む）>検査,,
C0035,カプセル内視鏡,内科,消化器内科（肝臓内科含む）,,消化器内科（肝臓内科含む）,3,1,1,79,内科>消化器内科（肝臓内科含む）,,
C0036,内視鏡治療（EMR／ポリペクトミー）,内科,消化器内科（肝臓内科含む）,治療・手技,消化器内科（肝臓内科含む）,3,1,1,80,内科>消化器内科（肝臓内科含む）>治療・手技,,
C0037,胃瘻チューブ交換（バルーン式／バンパー式）,内科,消化器内科（肝臓内科含む）,治療・手技,消化器内科（肝臓内科含む）,3,1,1,81,内科>消化器内科（肝臓内科含む）>治療・手技,,
C0038,ドレーン管理（胃ろう／PTGBDなど）,内科,消化器内科（肝臓内科含む）,治療・手技,消化器内科（肝臓内科含む）,3,1,1,82,内科>消化器内科（肝臓内科含む）>治療・手技,,
C0039,腹水穿刺／除去（ドレナージ）,内科,消化器内科（肝臓内科含む）,治療・手技,消化器内科（肝臓内科含む）,3,1,1,83,内科>消化器内科（肝臓内科含む）>治療・手技,,
C0040,腹水濾過濃縮再静注法（CART）,内科,消化器内科（肝臓内科含む）,治療・手技,消化器内科（肝臓内科含む）,3,1,1,84,内科>消化器内科（肝臓内科含む）>治療・手技,,
